#SGD	alpha 0	alpha 7	alpha 14	alpha 21	alpha 28	alpha 35	alpha 42	alpha 49	alpha 56	alpha 63	alpha 70	alpha 77	alpha 84	alpha 91	alpha 98	alpha 105	alpha 112	alpha 119	Elu 0	Elu 30	Elu 60	Elu 90	Elu 120	Elu 150	Elu 180	Elu 210	Elu 240	Elu 270	Elu 300	Elu 330	Elu 360	Elu 390	cdc15 10	cdc15 30	cdc15 50	cdc15 70	cdc15 90	cdc15 110	cdc15 130	cdc15 150	cdc15 170	cdc15 190	cdc15 210	cdc15 230	cdc15 250	cdc15 270	cdc15 290	spo 0	spo 2	spo 5	spo 7	spo 9	spo 11	spo5 2	spo5 7	spo5 11	spo- early	spo- mid	heat 0	heat 10	heat 20	heat 40	heat 80	heat 160	dtt 15	dtt 30	dtt 60	dtt 120	cold 0	cold 20	cold 40	cold 160	diau 9	diau 11	diau 13	diau 15	diau 17	diau 19	diau 21
S000006045	-0.69	-0.43	0.39	0.11	0.06	-0.15	-0.06	-0.42	-0.56	-0.36	-0.62	-0.06	-0.04	-0.3	-0.4	-0.25	-0.6	0.32	-0.06	-0.79	-0.45	-0.38	0.06	0.08	-0.09	-0.2	-0.23	-0.56	-0.07	-0.51	-0.6	-0.43	-0.12	0.57	0.2	0.32	-0.18	-0.42	0.06	0.14	-0.2	-0.12	-0.89	-1.03	0.11	-0.1	-0.04	-0.38	1.22	1.77	2.75	2.51	1.94	-0.79	0.61	-0.12	1.64	1.99	-0.15	-0.27	0.37	0.38	-1.29	0.87	-0.1	-0.07	-1.29	-0.51	-0.09	0.32		0.23	-0.29	-0.15	0.03	-0.15	-0.27	0.42	-0.17
S000001161	-0.71	-0.62	-0.69	-0.38	-0.49	-0.18	-0.45		-0.23	0.19	-0.25	-0.15	-0.04	-0.43	-0.51	-0.09	-0.62	-0.29	-0.54	-0.27	-0.06	-0.15	0.1	0.08	0.1	0.3	0.07	0.34	0.11	0.31	-0.22	0.01	-0.56	-0.3	-0.18	0.06	-0.1	-0.1	-0.4	-0.34	0.2	0.15	-0.12	0.38	-0.29	-0.49	-0.64	-0.04	0.87	1.34	1.9	1.31	1.78	-0.64	0.18	-0.36	1.48	1.42	-0.03	-0.25	0.2	0.01	0.25	0.34	-0.18	-0.49	-0.47	-0.56	-0.3	0.04	-0.27	0.08	-0.03	-0.22	0.69	-0.12	-0.29	-0.36	-0.58
S000003331	-0.34	0.31	-0.27	-0.23	0.26		0.24	-0.2	-0.17	-0.22	-0.49		0.08	-0.27	-0.07	0.04	-0.07	-0.32	-0.38	-0.56	-0.67	-0.64	-0.34	-0.04	-0.22		-0.03	-0.22	-0.2	-0.17	-0.62	-0.54	-1.6	-0.84	0.25	-0.6	-0.04	-1	-0.81	-0.71	-0.3	-0.51	-1	-1.43	-1.06	-1.18	-0.69	-0.71	1.2	1.73	2.13	1.59	1.07	-0.56	-0.29	-1.32	2.03	2.48	0.04	0.31	0.03	-0.15	0.07	0.14	-0.67	-0.54	-0.79	-0.74	-0.25	0.67	-0.18	-0.22	-0.22	-0.38	0.01	-0.12	-0.22	-0.06	-0.4
S000006345	1.7	-0.76	-0.43	-0.12		0.08	0.25	-0.58	-0.51	-0.62	-1.06	-0.15	0.01	-0.54	0.18	0.1	-0.47	-0.58	-0.86	-1.12	-0.38	-0.6	-0.2	0.04	-0.06	-0.06	-0.1	-0.01	-0.3	-0.29	-0.89	-0.62	-0.89	-0.29	0.14	-0.29	-0.64	-0.6	-0.76	-0.01	0.52	-0.62	-0.58	-0.27	-0.71	-0.47	-0.54	-0.51	0.82	1.79	2.62	1.6	1.81	-1.22	0.7	-0.42	1.63	2.34	-0.14	-0.42	-0.14	-0.34	0.16	0.54	-0.71	-0.01	-0.29	-0.36	-0.25	0.6	-0.27	-0.1	-0.1	-0.43	-0.09	-0.2	-0.27	-0.58	-0.71
S000004811	2.25	-0.01	-0.76	-0.62	0.04	0.37	0.34		0.04	0.01	-0.58	-0.43	-0.09	0.2	0.25	0.16	0.34	-0.06	-1	-0.79	-0.97	-0.51	-0.15	0.03	0.16	0.42	0.39	0.15	0.11	-0.56	-0.79	-0.38	-1.12	-0.92	0.06	0.56	-0.03	-0.38	-1.12	-0.4	0.03	0.21	-0.1	-0.84	-0.6	-0.47	-0.32	-0.49	2.54	2.27	3.53	2.84	2.48	-0.79	-0.01	-0.94	2.76	3.24	-0.12	0.33	-0.29	0.04	0.26	0.26	-0.38	-0.29	-0.43	-0.34	-0.25	0.31	0.18	0.23	-0.42	-0.03	0.49	-0.14	-0.01	0.8	-0.04
S000002520	-0.84	-0.58	0.2	0.15	0.42	0.42	0.21	-0.04	-0.34	-0.67	-0.34	-0.01	0.25	0.11	0.3	-0.07	0.01	-0.17	-0.74	-1	-0.51	-0.69	0.03	0.14	0.42	0.38	0.06	-0.32	-0.14	-0.25	-0.47	-0.56	-1.4	-0.18	1.16	0.43	-0.27	-1.47	-0.36	0.52	0.74	0.19	-0.49	-0.51	-0.2	-0.15	0.16	-0.3	2.37	3.5	4.3	3.55	3.13	-1.06	0.71	-0.56	3.76	3.51	0.12	-0.23	-0.14	-0.32	-0.15	0.91	-0.62	-0.27	-0.27	-0.56	-0.04	0.26	-0.3	0.06	-0.1	-0.03	0.25	-0.29	-0.18	0.39	-0.06
S000002854	0.01	-0.07	0.01	-0.36	-0.07	-0.47	-0.14	0.1	-0.07	-0.01	-0.23	-0.29	-0.06	-0.4	-0.29	-0.29	-0.07	-0.25	-0.71	-0.6	-0.4	-0.58	-0.4	-0.23	-0.36	-0.36	-0.42	-0.43	-0.1	-0.51	-0.71	-0.71	-0.71	-0.29	-0.3	-0.29	-0.25	-0.27	-0.54	-0.79	-0.49	-0.25	-0.45	-1	-0.92	-0.76	-1.09	-0.12	2.93	3.96	3.83	4	3.27	-1.6	-0.14	-1.29	4.14	4.7	0.03	-0.3	-0.81	-0.27	-0.92	-0.01	-0.94	-0.07	-0.81	-0.23	-0.22	0.37	-0.17	-0.22	-0.43	-0.56	-0.43	-0.64	-0.94	-0.67	-1.94
S000002764	-0.25	-0.71	0.08	0.06	0.33	0.39		0.42	-0.3	0.37	-0.15	0.07	-0.04	0.07	0.12	0.06	0.06	0.18	0.37	-0.4	-0.2	-0.15	0.12	-0.38	-0.2	0.03	-0.01	-0.4	-0.36	-0.25	-0.32	-0.36	-0.71	-0.3	0.4	-0.12	-0.64	-0.43	-0.22	0.19	1.01	-0.51	-0.58	-0.18	-0.6	0.34	-1.06	0.12	1.04	1.62	2.01	1.91	1.45	-0.42	0.42	0.18	1.6	1.95	0.11	0.15	0.23	-0.3	-0.04	0.56	-0.17	-0.12	-0.69	-0.3	0.06	0.45	0.4	0.26	-0.14		0.14	-0.32	0.03	-0.29	-0.25
S000002946	-0.06	-0.09	0.12	0.3	0.19	0.08	0.21	-0.14	-0.14	0.04	-0.2	0.11	0.12	-0.29	-0.01	-0.36	-0.1	-0.2	-0.25	-0.71	0.06		0.03	0.08	0.01	0.1	0.07	0.08	0.21	-0.09	-0.34	0.12	-1.03	-0.89	-0.49	-0.58	-0.23	-0.36	-0.09	0.5	0.2	-0.29	-0.45	-0.51	-0.84	-0.4	-0.49	-0.32	0.7	1.07	2.37	1.28	1.1	-0.42	0.38	0.1	1.66	1.31	0.14	-0.01	-0.38	-0.17	-0.34	-0.3	-0.14	-0.4	-0.4	-0.81	-0.06	0.16	-0.2	-0.27	-0.09	-0.25	0.36	-0.12	-0.22	-0.22	-0.38
S000002661	-0.3	-0.01	-0.34	-0.36		0.2	-0.47	0.07	-0.09	-0.43	0.06	-0.29	0.03	-0.22	-0.23	-0.27	-0.27	-0.17	-0.07	-0.29	-0.23	-0.6	-0.38	-0.47	-0.22	-0.1	-0.67	-0.42	-0.17	-0.62	-0.43	-0.27	-0.86	-0.86	-0.18	-0.47	-0.56	-0.38	-0.92	-0.71	-0.25	-0.51	-0.4	-0.1	-0.42	-0.64	-0.34	-0.38	1	1.36	1.7	2.48	2.78	-0.32	0.95	0.79	1.75	2.26	-0.01	0.14	-0.15	-0.22	0.19	0.12	-0.76	-0.4	-0.3	-0.62	-0.32	0.41		-0.6	-0.07	0.01	0.07	-0.29	-0.74	0.18	-0.34
S000002977	0.19	0.04	0.26		-0.03	0.06	-0.12	0.31	0.26	-0.54	0.2	-0.2	-0.2	-0.17	-0.01	0.29	-0.45	-0.27	-0.54	-0.09	0.14	0.18	-0.01	0.3	0.18	0.21	0.04	-0.15	-0.04	-0.03	0.04	0.21	-0.79	-0.54	-0.17	0.31	-0.06	-0.43	-0.47	-0.54	-0.22	-0.09	-0.22	0.04	-0.36	-0.51	-0.3	-0.07	4.06	4.13	4.08	3.72	4.11	-0.45	-0.45	-0.94	2.15	1.82	-0.04	-0.34	-0.69	0.5	0.08	-0.09	-1.18	-0.84	-0.58	-0.76	-0.14	-0.58	-0.18	-0.22	0.12	0.51	0.03	-0.43	-0.6	-0.4	-0.32
S000006324	-0.92	-0.32	0.98	1.03	0.32	-0.03	-0.12	-0.34	-0.29	-0.27	0.76	0.67	0.37	-0.17	0.16	-0.14	-0.15	-0.43	-0.62	-0.84	-0.6	0.01	0.15	0.1	-0.06	0.08	-0.43	-0.22	-0.27	-0.49	-0.58	-0.62	0.04	1.1	0.74	0.1	-0.84	-1	0.54	0.98	0.28	-0.47	-0.89	0.1	-0.09	-0.14	-0.32	-0.42	1.49	2.37	3.33	2.72	2.69	-0.89	0.84	0.25	2.74	2.82	-0.14	-1.03	-0.49	-0.54	-0.49	-0.32	-0.22	-0.17	-1.09	-0.89	0.01	0.33	0.75	-0.17	0.16	0.15	0.19	-0.29	-0.43	1.1	-0.6
S000003927	-0.23	-0.62	-0.38	-0.34	0.16	0.11	0.33	-0.15	-0.01	-0.23	-0.14	-0.4	0.01	-0.45	0.26	-0.15	0.1	-0.34	-0.97	-0.56	-0.4	-0.54	-0.25	-0.34	-0.45	-0.4	-0.36	-0.43	-0.34	-0.29	-0.43	-0.47	0.11	0.32	0.49	0.51	0.24	0.04	0.04	1.02	0.51	0.39	-0.03	0.14	-0.04	0.07	-0.07	-0.54	0.52	1.84	2.97	2.41	2.22	-1.4	0.95	0.51	0.86	0.96	-0.29	-0.47	-0.6	-0.27	-0.25		-0.84	-0.42	-0.81	-1.09	-0.64	0.26	-0.42	-0.18	-0.06	-0.14	-0.4	-0.47	-0.51	-1.18	-1.25
S000003417	-0.06	-0.14	-0.18		-0.23	0.2	-0.09	0.03	0.1	0.26	0.08	0.24	-0.06	-0.18	0.15	-0.03			-0.69	-0.01		0.46	0.8	0.66	0.14	0.34	0.1	0.46	0.29	0.01	-0.14	0.18		0.18	0.29	0.36	0.32	0.14	0.03	0.01	-0.14	0.26	0.16	0.15	-0.01	-0.3	-0.22	-0.07	0.38	0.78	2.63	2.23	2.67	-0.81	1.59	1.04	0.7	0.82	0.04	-0.6	-0.84	-0.84	-0.45	-0.36	0.37	-0.58	-0.17	-0.29	-0.03	-0.18	-0.45	-0.07	0.33	-0.23	0.14	-0.58	-0.67	-0.58	-1.6
S000002739	-0.47	-0.32	-0.3	0.24	-0.06	0.1	-0.18	-0.03	0.07	-0.29	0.14	-0.23	0.1	-0.2	-0.03	0.14	-0.23	-0.23	0.36	-0.32	-0.29	-0.43	-0.1	0.04	0.37	0.15	0.18	0.19	0.11	-0.47	-0.17	-0.1	-0.22	-0.09	0.12	0.23	0.12	-0.3	-0.15	0.34	0.14	0.01	-0.1		-0.3	-0.32	-0.25	-0.14	-0.17	0.83	2.01	1.81	1.74	-1.06	1.17	0.76			0.04	-0.49	-0.51	-0.92	-0.32	-0.42	-0.01	-0.45	-0.14	-0.23	-0.3	0.19	-0.6	-0.25	0.04	0.28	0.25	-0.6	-0.49	-0.45	-0.67
S000005163	-0.29	-0.58	-0.3	-0.54	-0.2	-0.29	0.18	-0.27	-0.1	-0.07	-0.32	-0.22		-0.42	-0.03	-0.4	-0.23	0.2	-0.43	-0.74	-0.51	-0.49	-0.29		-0.32	-0.01		-0.09	-0.06	-0.14	-0.4	-0.1	-0.22	-0.32		0.28	0.08	0.16	0.12	0.08	0.08	-0.54	-0.23	-0.79	-0.42	-0.79	-0.45	-0.34	0.03	0.25	2.32	2.31	2.46	-0.54	1.37	1.54	0.3	0.44	-0.23	-0.4	-0.71	-0.86	-0.36	-0.51	-0.17	-0.64	-0.2	-0.56	-0.18	-0.09	-0.38	-0.07	0.06	0.12	0.49	0.19	0.01	0.18	-0.4
S000000472	0.03	-0.27	0.01	0.03	0.06	-0.04	0.2	0.15	0.21	-0.09	-0.15	0.06	0.11	-0.22	-0.07	-0.22	-0.04	-0.18	-0.18	-0.34	-0.09	-0.15	0.24	0.1	0.21	0.11	-0.03	-0.14	0.26	0.15	-0.17		0.76	0.29	0.36	0.21	0.53	0.79	0.96	1.01	0.48	0.65	0.9	1.16	1.21	1.25	1.74	-0.3	-0.15	1.12	2.46	2.18	1.99	-1.56	1.52	0.99	-0.56	-0.25	-0.14	-0.71	-0.47	-0.64	-0.71	-0.15	-0.17	0.06	-0.14	-0.54	-0.3	0.12	-0.64	-0.32	0.01	0.01	0.14	0.11	0.15	0.29	-0.27
S000002584	0.03	0.5	-0.01	-0.4	-0.18	-0.47	0.25	-0.27	0.16	-0.07	-0.03	-0.32		-0.69	-0.2	-0.32	-0.34	-0.22	-0.56	-0.18	-0.49	-0.47	-0.47	-0.74	-0.45	-0.54	-0.32	-0.1	-0.38	0.08	-0.03	-0.3	0.07	0.32	0.29		0.14	0.15	0.24	0.03	-0.04	0.24	0.37	0.32	0.72	0.59	1.03	-0.32	-0.09	1.12	2.65	2.58	2.25	-1.22	1.45	0.99	0.24	0.26	-0.49	-0.49	-0.3	-0.71	-0.36	-0.6		0.62	-0.01	-0.43	-0.09	0.19	-0.04	-0.3	0.03	0.01	0.57	-0.06	0.14	0.33	0.56
S000004185	-0.15	0.87	-0.22	-0.03	-0.09	-0.23	-0.09	-0.12	0.04	-0.18	-0.09	-0.17	-0.07	-0.32	-0.18	-0.15	-0.51	-0.36	-1.06	-0.23	-0.23	-0.12	-0.01	-0.23	-0.17	-0.09	-0.25	0.36	-0.06	0.45	-0.01		-0.23	-0.34	-0.17	-0.38	-0.23	-0.25	-0.09	-0.32	-0.3	-0.2	-0.27	0.14	0.12	-0.12	-0.1	-0.12	0.2	1.24	2.46	2.03	2.47	-1.4	1.24	0.86	-0.17	-0.2	-0.32	-0.71	-0.97	-0.47	-0.4	0.08	-0.01	0.01	0.06	-0.04	-0.2	0.08	-0.64	-0.71	0.15	0.43	0.79	0.2	-0.1	0.2	-0.36
S000003434	-0.29	-0.04	-0.17	-0.45	-0.54	-0.22	-0.22	-0.09		-0.17	0.04	-0.15	-0.17	-0.3	-0.1	0.11		-0.17	-0.14	-0.17	0.18	0.18	-0.06		0.03	0.29	0.33	0.18	0.06	0.34	0.21	0.2	0.04		-0.4	0.12	-0.01	0.2	0.26	0.07	-0.17	0.46	0.14	0.42	0.67	0.29	0.48	-0.15	0.03	1.36	2.41	2.34	2.37	-1.6	1.67	0.99	0.06	0.57	-0.01	-0.56	-0.2	-0.1	-0.76	-0.38	-0.14	-0.04	-0.15	-0.29	-0.27	0.6	0.26	1.01	-0.04	-0.04	-0.15	-0.2	-0.23	0.23	-0.38
S000000925		-0.2	-0.25	-0.06	-0.15	-0.2	0.07	-0.17	-0.07	-0.04	-0.18	-0.09	-0.01	-0.23	-0.3	-0.15	-0.03	0.83	0.12	-0.2	-0.07	-0.15	-0.03	0.12	-0.3	0.04	0.08	0.23	0.01	-0.03	-0.71	0.18	0.01	0.08	-0.15	0.82	-0.23	0.3	0.2	0.08	0.36	0.18	0.18	0.53	-0.1	0.15	-0.22		-0.23	1.45	2.38	1.82	2.1	-2	0.51	0.32	0.15	-0.1	-0.4	-0.43	-0.15	-0.43	-0.1	-0.06	-0.23	-0.34	-0.32	-0.67	-0.17	-0.03	0.03	0.37	-0.18	-0.17	0.14	0.08	-0.47	0.08	-0.62
S000000399	-0.34	-1.03	-0.03	-0.4	-0.18	-0.38	-0.3	0.08	-0.25	0.08	-0.3	-0.06	-0.25	-0.17	-0.25	0.23	-0.29	0.41	-0.42	-0.67	-0.71	-0.62	-0.01	-0.18	-0.69	-0.29	-0.04	-0.09	-0.25	-0.23	-0.27	-0.45	0.56	0.54	0.16	0.01	-0.04	-0.03	0.1	-0.07	-0.1	-0.09	-0.15	-0.38	-0.42	-0.22	-0.25	-0.27	0.1	0.75	1.84	1.79	1.28	-1.18	0.31	-0.2	0.51	1.07	-0.49	-0.43	-0.18	0.07	-0.1	0.1	-0.49	-0.29	-0.58	-0.25	-0.29	0.29	-0.38	0.1	-0.3	-0.29	0.06	-0.34	-0.56	-0.03	-0.69
S000006315	-0.3	-0.54	-0.47	-0.71	-0.45	-0.34	0.16	-0.23	0.06	-0.22	-0.36	-0.56	-0.3	-0.56	-0.09	-0.34	-0.04	0.4	-1.22	-1.03	-0.74	-0.54	-0.04	-0.12	-0.43	-0.27	-0.07	0.1	-0.09	-0.15	-0.3	-0.25	-0.32	-0.43	-0.1	-0.01	0.34	0.28	-0.54	-1.29	-0.49	0.03		0.01	-0.2	-0.45	-0.23	-0.23	0.66	0.95	1.88	1.93	1.7	-0.67	0.54	-0.03	1.04	0.59	-0.09	-0.47	0.2	0.1	0.1	0.14	-0.3	-0.36	-0.64	-0.22	-0.29	0.43	-0.27	-0.25	-0.06	0.28	0.53	-0.23	-0.2	0.06	0.11
S000004603	-1.4	-1.6	-1.74	-2	-1.15	-0.36	0.6	0.42	0.81	0.29	-0.25	-0.62	-0.94	-0.62	-0.09	0.29	0.7	0.29	-1.51	-1.4	-1.84	-1.32	-1.22	-0.81	-0.54	0.36	0.37	0.73	0.25	0.66	0.45	-0.04	-0.45	-2.18	-1.69	0.5	0.15	1.05	-0.51	-1.74	-0.45	0.64	0.82	0.4	-0.29	-0.86	-0.71	-0.38	1.12	3.82	4.64	3.7	4.33	-2.74	0.84	0.01	0.54	1.46	-1.06	-1.06	-0.51	-1.15	-0.14	-1.15	-0.67	-0.67	-1	-0.71	-0.22	-0.2	-1.32	-0.36	0.04	-0.03	-0.27	-0.27	-0.32	-0.76	-1.56
S000001932	0.11	-0.27	-0.1	-0.22	0.07	-0.2	0.12	-0.04	-0.04	-0.22	-0.38	-0.27	0.03	-0.2	-0.23	-0.32	-0.14	-0.51	-0.14	-0.15	-0.22	-0.51	-0.3	-0.71	-0.38	-0.4	-0.23	-0.38	-0.17	-0.32	-0.29	-0.38	0.41	0.34	0.14	-0.49	-0.56	-0.22	0.06	-0.22	-1.06	-0.3	-0.17	0.31	-0.17	-0.04	0.04	-0.81	-0.1	1.41	2.09	2.23	0.99	-2.12	1.16	0.01	0.07	0.1	-0.14	-0.49	-0.01	-0.32		-0.01	-0.25	-0.62	-0.54	-0.43	-0.04	0.2	-0.06	-0.22	-0.23	-0.4	-0.17	-0.4	-0.36	-0.25	-0.29
S000006176	-0.97	-0.92	0.38	0.34	0.53	0.29	-0.34	-0.15	-0.15	-0.49	-0.07	0.23	0.12	-0.1	0.15	-0.22	-0.07	-0.43	-0.76	-1.18	-1.18	-0.15	0.19	-0.07	0.11	0.33	-0.14	-0.32	-0.12	-0.36	-0.62	-0.34	-0.06	0.31	0.38	-0.54	-0.64	-0.34	-0.12	0.4	0.07	-0.29	-0.42	0.43	-0.38	-0.43	-0.64	-0.51	0.03	1.33	1.83	2.06	1.61	-2.06	0.56	0.24	0.29	0.38	-0.18	-0.79	-0.4	-0.2	-0.29	0.42	-0.42	0.04	-0.15	-0.34	0.07	0.58	0.68	-0.18	-0.01	-0.07	0.03	-0.17	-0.3	-0.54	-0.06
S000001532	-0.3	-0.2	-0.12	0.14	0.08	0.33	0.01	0.03	-0.32	-0.07	-0.45	-0.06	-0.03	-0.23	-0.12	-0.15	0.32	-0.22	-0.01	-0.32	-0.14	-0.15	0.3	-0.06	0.21	-0.1	-0.04	-0.22	-0.03	-0.27	-0.36	-0.18	0.33	0.41	0.57	0.62	0.31	-0.06	-0.17	-0.04	-0.12	0.43	-0.01	-0.43	-0.14	-0.14	0.08	-0.49	0.73	1	1.93	1.32	1.06	-0.03	0.75	0.21	1.61	1.3	-0.17	-0.81	0.03	-0.27	-0.3		-0.84	-0.17	-0.51	-0.47	-0.47	0.7	0.32	0.23	-0.17	-0.25	0.07	-0.07	0.07	0.32	-0.09
S000003341	-1.64	0.36	2.28	1.9	0.38	0.3	-0.51	-0.62	-0.58		1.29	1.56	0.61	-0.06	-0.62	-0.42	-0.89	-0.43	-1.32	-1.36	0.07	-0.69	0.03		0.16	0.11	-0.4	-0.09	0.12	-0.97	-1.18	-0.34	-1.22	1.96	0.8	-1.03	-1.56	-1.6	0.53	1.28	0.73	-0.89	-1.09	0.58	-0.07	-0.27	-0.29	-0.12	0.21	1.29	4.05	2.53	4.08	-2.06	1.24	0.96	2	0.94	0.25	-1.43	0.03	-0.67	-0.89	-0.64	-0.84	0.06	-1.43	-1.15	-1.06	-0.01	-1.09	-1.22	-0.34	-0.45	-0.22	-0.45	-0.74	0.16	-0.49
S000005430	-0.58	-0.56	-0.42	-0.51	-0.23	0.01	0.06	0.2	0.07	-0.56	-0.4	-0.71	-0.51	-0.45	-0.2	-0.12	-0.27	-0.32	0.06	-0.54	-0.32	-0.17	-0.29	-0.64	-0.36	-0.32	-0.3	-0.36	-0.1	-0.36	-0.25	-0.49	-0.81	-0.86	-0.71	-0.3	0.43	-0.2	-0.89	-1.18	-0.47	-0.32	0.04	-0.89	-0.71	-0.86	-0.69	-0.14	0.62	1.08	1.64	1.58	1.14	-1.15	0.2	-0.2	1.01	1.33	-0.15	-0.25	-0.3	-0.76		-0.06	-0.36	-0.38	-0.94	-0.58	-0.4	0.51	-0.03	0.07	-0.25	0.06	0.34	-0.17	-0.3	0.44	0.06
S000003508	-0.03	-0.07	-0.36	-0.01	-0.01	-0.14	-0.34	-0.14	0.14	-0.32	0.07	-0.07	0.08	-0.17	-0.25	-0.06	-0.38	-0.27	-0.18	-0.27	-0.4	-0.32	-0.22	-0.12	-0.17	-0.34	-0.3	-0.38	-0.14	-0.45	-0.32	-0.32	0.31	0.36	0.26	-1.69	-0.43	-0.2	-0.01	-0.12	-0.18	-1.18	-0.3	0.44	0.48		0.19	-0.04	0.28	0.96	1.89	1.67	1.35	-0.69	0.99	0.54	0.32	0.96	-0.27	-0.74	-0.45	-0.49	-0.6	-0.67	-0.32	0.23	-0.42	-0.64	-0.69	-0.4	-0.94	-0.27	0.24	0.16	0.38	-0.06	-0.1	0.1	0.7
S000005132	-1.18	-0.76	-0.17	-0.34	-0.79	-0.6	-0.27	-0.62	-0.56	0.12	0.11	-0.32	-0.32	-0.71	-0.58	-0.92	-0.36	-0.3	-1.36	-1.09	-0.6	-0.79	-0.27	-0.81	-0.56	-0.56	-0.47	-0.56	-0.79	-0.54	-0.67	-0.74	0.2	-0.04	0.11	-0.42	-0.54	-0.42	0.53	0.62	-0.4	-1.47	-0.42		-0.94	0.21	-0.38	-0.45	0.43	1.64	2.42	2.04	1.69	-0.79	0.83	0.34	0.21	-0.06	-0.67	-1.22	-0.64	-0.01	-0.45	-0.76	-0.43	0.15	-0.3	-0.94	-0.62	0.07	-1.15	-1.22	-0.09	0.11	0.54	-0.27	0.06	0.45	-0.07
S000004264	-0.09	-0.06	0.39		-0.86	-1.25	-1.18	-1.03	-0.17	0.31	0.54	0.11	-0.47	-0.86	-1.12	-0.89	-0.58	0.2	-0.89	-0.45	-0.47	0.07	-0.32	-0.09	-0.49	-0.14	-0.2	-0.06	-0.23	0.04	0.21	0.24	0.42	0.54	-1.36	-1.64	-0.42	0.75	1.12	-0.15	-0.76	-0.71	0.04	0.03	0.84	0.19	-0.04	-0.42	1.42	1.61	2.25	1.94	2.04	-0.6	0.39	-0.14	1.79	1.66	-0.07	-0.09	-0.1	0.2	-0.45	-0.71	0.06	-0.36	-1.09	-0.89	0.18	0.04	0.48	-0.64	-0.06	0.16	0.06	-0.09	-0.2	0.25	-0.4
S000005706	0.03	-0.06		-0.06	0.11		0.08	-0.04	-0.25	-0.25	-0.54	-0.18	-0.3	-0.49	-0.23	-0.23	-0.09	0.46	0.07	-0.43	0.01	-0.45	-0.1	-0.09	0.06	-0.12	0.06	-0.17	0.03	0.04	-0.12	-0.09	-0.1	-0.2	-0.12	0.25	0.04	-0.15	0.07	0.24	-0.04	0.23	-0.06	-0.4	0.03	-0.06		-0.45	0.72	0.32	2.03	2.02	1.71	0.3	1.18	1.1	0.96	0.2	-0.04	0.16	0.32	-0.22	0.08	0.19	-0.12	-0.34	-0.27	-0.22	-0.1	0.62		0.95	-0.14	0.01	0.37	-0.01	-0.17	0.46	0.31
S000003461	-0.43	-0.36	-0.34	0.07	0.25	0.5	-0.18		0.01	0.19	-0.03	-0.01	-0.01	-0.29	-0.17	0.08	-0.32	0.01	-1.36	-0.4	0.39	-0.29	-0.03	0.3	0.07	0.37	-0.14	0.42	0.62	0.08	0.16	-0.01	0.28	0.18	-0.14	-0.34	-0.23	-0.32	-0.09		-0.04	-0.23	-0.12	0.52	-0.36	-0.38	-0.64	-0.15	0.96	1.62	2.51	2.34	2.08	-0.92	0.77	-0.06	-0.42	-0.45	-0.6	-1.22	-0.79	-0.97	-0.62	-0.62	-0.29	-0.43	-0.36	-0.29	-0.49	-0.34	-0.56	0.07	0.24	0.16		-0.15	-0.12	0.06	-1.03
S000004845	3.91	0.91	0.21	0.21		-0.1	-0.09	0.06	-0.12	-0.3	-0.09	-0.04	0.07	-0.25	-0.18	0.06	0.01	0.18	-0.54	-0.22	-0.25	0.45	0.04	-0.07	-0.04	-0.49	-0.58	-0.67	-0.45	-0.74	-0.89	-0.79	0.16	-0.17	-0.49	-0.29	-0.89	-0.49	1.03	0.68	-0.2	-1.79	0.06	0.11	-1.64	-0.06	-0.29	-0.38	0.33		2.75	2.26	2.52	-2	0.82	0.11	0.58	2.87	0.15	-0.15	0.54	0.19	0.52	0.53	-0.58	-0.18	-0.56	-0.56	0.06	0.4	0.26	0.29	-0.42	-0.38	0.3	-0.12	-0.43	0.55	0.4
S000003340	-2.25	-1.32	-1.6	-1.47	-1.29	-0.43	0.12	0.82	0.74	-0.15	0.1	-0.4	-0.49	-0.49	0.04	0.6	0.32	0.4	-2.4	-2.25	-2.32	-2.32	-1.32	-0.64	-0.06	0.3	0.4	0.46	0.83	0.38	0.37	-0.09	1.54	0.41	-0.43	1.97	2.21	1.93	0.12	-0.36	0.66	1.86	1.7	1.83	0.54	-0.17	0.25	-0.04	1.78		4.21	3.9	4.31	-1.51	1.75	1.23	0.1	0.1	-0.47	-0.62	-0.71	-0.67	0.15	0.1	-0.29	-0.79	-0.97	-0.62	-0.69	0.25	-0.47	-0.29	0.18	0.11	0.62	0.79	0.12	-0.89	-0.54
S000000951	-0.12	-0.58	-0.15	0.28	0.11	-0.09	-0.01	-0.18	-0.32	-0.18	-0.15	0.12	0.04	-0.23	-0.36	-0.29	-0.06	-0.29	0.06	-0.56	-0.3	0.46	0.57	0.36	0.08	-0.23	-0.3	-0.17	0.12	-0.84	-0.67	-0.18	0.08	0.33	0.58	0.14	-1.12	-0.74	-1.4	1.26	0.38	-0.76	-0.6	-0.6	0.03	-0.18	-0.01	-0.43	0.03	0.33	1.52	1.49	0.98	-0.23	0.76	0.34	0.62	0.32	-0.36	-0.76	-0.54	-0.29	-0.29	0.08	-0.25	-0.12	-0.45	-0.14	-0.43	0.37	0.53	0.7	-0.36	-0.25	0.43	-0.36	-0.54	0.24	-0.64
